Place;FirstName;LastName;Car Number;Car;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;SteamId
1;A;Skunky;302;;34;0:29.409;0:40.092;0:34.581;1:44.217;104217;1:44.082;M2533274822928295
2;B;Dzieciol ;14;;34;0:29.490;0:39.985;0:34.717;1:44.430;104430;1:44.192;M2535450086590569
3;J;Ruger;59;;34;0:29.355;0:40.230;0:34.725;1:44.590;104590;1:44.310;M2533274848023341
4;L;Hill;16;;34;0:29.410;0:40.235;0:34.817;1:44.582;104582;1:44.462;M2533274805889819
5;G;Gradon;26;;34;0:29.482;0:40.395;0:34.807;1:44.977;104977;1:44.684;M2535437571018285
6;M;Grunert;90;;34;0:29.415;0:40.122;0:34.917;1:44.567;104567;1:44.454;M2533274879957725
7;T;Ferre;84;;34;0:29.649;0:40.413;0:35.007;1:45.231;105231;1:45.069;M2535461572527417
8;B;Jones;80;Bentley Continental GT3 (2018);34;0:29.377;0:40.370;0:34.977;1:44.725;104725;1:44.724;M2562092466593675
9;B;Slater;20;;34;0:29.400;0:40.275;0:34.779;1:44.721;104721;1:44.454;M2533274804593068
10;S;Briggs;88;AMR V8 Vantage GT3;34;0:29.660;0:40.645;0:35.385;1:45.927;105927;1:45.690;M2535426324983035
11;J;Caceres;69;;34;0:29.545;0:40.247;0:34.955;1:44.885;104885;1:44.747;M2535444795511546
12;J;Macdonald ;40;;34;0:29.577;0:40.247;0:35.067;1:45.102;105102;1:44.891;M2533274809536861
13;A;Mcvittie ;116;;33;0:29.512;0:40.257;0:34.692;1:44.507;104507;1:44.461;M2533274896948119
14;J;Geez;10;;33;0:29.823;0:40.767;0:35.181;1:46.149;106149;1:45.771;M2533274803882798
15;R;Sabio;144;;27;0:29.610;0:40.983;0:35.616;1:46.560;106560;1:46.209;M2535464171877570
16;R;Briggs ;1;Audi R8 LMS;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274963284096
17;CJ;DirtyEwok;2;;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274796928070
