Place;FirstName;LastName;Car Number;Car;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;SteamId
1;Sean;Briggs;88;AMR V8 Vantage GT3;8;0:20.375;0:34.565;0:33.662;1:28.725;88725;1:28.602;M2535426324983035
2;Andre;Lico;350;;9;0:20.370;0:34.810;0:33.537;1:28.777;88777;1:28.717;M2533274810896580
3;George;Gradon;26;;7;0:20.372;0:34.462;0:33.692;1:28.787;88787;1:28.526;M2535437571018285
4;A;Skunky;302;;8;0:20.400;0:34.614;0:33.810;1:28.824;88824;1:28.824;M2533274822928295
5;B;Dzieciol;14;;9;0:20.415;0:34.512;0:33.787;1:28.832;88832;1:28.714;M2535450086590569
6;L;Hill;16;;8;0:20.367;0:34.607;0:33.665;1:28.850;88850;1:28.639;M2533274805889819
7;Justin;Ruger;59;;9;0:20.352;0:34.662;0:33.915;1:29.025;89025;1:28.929;M2533274848023341
8;Ant;Mcvittie;116;;7;0:20.475;0:34.512;0:33.900;1:29.042;89042;1:28.887;M2533274896948119
9;Ben;Jones;80;Bentley Continental GT3 (2018);9;0:20.310;0:34.632;0:34.030;1:29.195;89195;1:28.972;M2562092466593675
10;Rob;Sexton;13;AMR V8 Vantage GT3;9;0:20.430;0:34.822;0:33.962;1:29.402;89402;1:29.214;M2533274809212122
11;M;Grunert;90;;9;0:20.532;0:34.947;0:33.970;1:29.562;89562;1:29.449;M2533274879957725
12;Mark;Browning;207;;7;0:20.570;0:34.820;0:34.252;1:29.967;89967;1:29.642;M2533274796566438
13;R;Lopez;83;Audi R8 LMS GT3 Evo 2;7;0:20.682;0:35.409;0:34.338;1:30.540;90540;1:30.429;M2535460476819136
14;Tobias;Marquardt;224;;6;0:20.709;0:35.295;0:34.614;1:30.663;90663;1:30.618;M2535465555386205
15;FGTR;TRIGGA;199;Ferrari 488 Challenge Evo;7;0:20.727;0:35.382;0:34.730;1:31.110;91110;1:30.839;M2535470339745873
16;JON;G10;10;;5;0:20.991;0:35.718;0:34.773;1:31.482;91482;1:31.482;M2533274803882798
17;B;Slater;20;;34;0:29.400;0:40.275;0:34.779;1:44.721;104721;1:44.454;M2533274804593068
18;J;Caceres;69;;34;0:29.545;0:40.247;0:34.955;1:44.885;104885;1:44.747;M2535444795511546
19;J;Macdonald ;40;;34;0:29.577;0:40.247;0:35.067;1:45.102;105102;1:44.891;M2533274809536861
20;T;Ferre;84;;34;0:29.649;0:40.413;0:35.007;1:45.231;105231;1:45.069;M2535461572527417
21;R;Sabio;144;;27;0:29.610;0:40.983;0:35.616;1:46.560;106560;1:46.209;M2535464171877570
22;Roy;Briggs;4;Audi R8 LMS;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274963284096
23;CJ;DirtyEwok;75;;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274796928070
