Place;FirstName;LastName;Car Number;Car;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;SteamId
1;Andre;Lico;350;;6;0:32.565;0:43.105;0:32.032;1:47.860;107860;1:47.702;M2533274810896580
2;A;Skunky;302;;7;0:32.511;0:43.209;0:31.896;1:47.877;107877;1:47.616;M2533274822928295
3;Ben ;Jones;80;Bentley Continental GT3 (2018);7;0:32.540;0:43.590;0:32.207;1:48.337;108337;1:48.337;M2562092466593675
4;B;Dzieciol;14;;6;0:32.627;0:43.475;0:32.055;1:48.407;108407;1:48.157;M2535450086590569
5;M;Grunert;90;;8;0:32.797;0:43.232;0:32.205;1:48.437;108437;1:48.234;M2533274879957725
6;J;Caceres;69;;5;0:32.722;0:43.352;0:32.350;1:48.470;108470;1:48.424;M2535444795511546
7;I;McGowan;64;;7;0:32.677;0:43.267;0:32.540;1:48.485;108485;1:48.484;M2533274806514359
8;L;Hill;16;;7;0:32.795;0:43.547;0:32.227;1:48.757;108757;1:48.569;M2533274805889819
9;Justin;Ruger;59;;6;0:32.830;0:43.477;0:32.212;1:48.775;108775;1:48.519;M2533274848023341
10;Ant;Mcvittie;116;;4;0:32.757;0:43.562;0:32.155;1:48.810;108810;1:48.474;M2533274896948119
11;Sean;Briggs;88;AMR V8 Vantage GT3;4;0:33.050;0:43.427;0:32.287;1:48.832;108832;1:48.764;M2535426324983035
12;Mark;Browning;207;;6;0:32.787;0:43.740;0:32.482;1:49.010;109010;1:49.009;M2533274796566438
13;George;Gradon;26;;7;0:33.120;0:43.735;0:32.245;1:49.205;109205;1:49.100;M2535437571018285
14;Brian;Slater;20;;5;0:32.997;0:43.779;0:32.304;1:49.302;109302;1:49.080;M2533274804593068
15;David;Mojsa;81;;4;0:33.022;0:43.935;0:32.360;1:49.317;109317;1:49.317;M2535450693182151
16;M;Bieniek;28;;6;0:32.902;0:44.015;0:32.470;1:49.387;109387;1:49.387;M2535435704890007
17;T;Richmond;747;Ferrari 488 Challenge Evo;5;0:33.102;0:43.792;0:32.505;1:49.400;109400;1:49.399;M2535463400577494
18;J;Macdonald;40;;4;0:33.055;0:43.665;0:32.695;1:49.595;109595;1:49.415;M2533274809536861
19;JON;G10;10;;3;0:33.447;0:43.647;0:32.532;1:49.836;109836;1:49.626;M2533274803882798
20;R;Sexton;13;AMR V8 Vantage GT3;8;0:32.710;0:43.705;0:32.315;1:49.915;109915;1:48.730;M2533274809212122
21;R;Sabio;144;;6;0:33.390;0:44.148;0:32.868;1:50.766;110766;1:50.406;M2535464171877570
22;;Jambo46#6930;46;;5;0:33.715;0:44.925;0:33.477;1:53.405;113405;1:52.117;M2535473256931494
23;J;Bourne;334;;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2535472669656787
24;R;Briggs;4;Audi R8 LMS Evo;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274963284096
25;;CJ DirtyEwok;75;;0;35791:23.647;35791:23.647;35791:23.647;35791:23.647;2147483647;107374:10.941;M2533274796928070
